"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Wfdc12",0,1.12991356496101,0.966,0.166,0,"3_Homeostatic","Wfdc12"
"Car6",0,2.80876644391948,1,0.221,0,"3_Homeostatic","Car6"
"Scgb2b26",0,3.60230127142905,1,0.228,0,"3_Homeostatic","Scgb2b26"
"Pip",0,3.24784837515226,1,0.246,0,"3_Homeostatic","Pip"
"Prol1",0,2.48581521253167,1,0.316,0,"3_Homeostatic","Prol1"
"Gm53236",0,3.15710776178092,1,0.398,0,"3_Homeostatic","Gm53236"
"Scgb2b27",0,2.68129501671156,1,0.435,0,"3_Homeostatic","Scgb2b27"
"Scgb1b27",0,2.8729996397772,1,0.523,0,"3_Homeostatic","Scgb1b27"
"Mucl2",0,3.16886756387054,1,0.566,0,"3_Homeostatic","Mucl2"
"A630073D07Rik",0,2.06679845043398,0.386,0.061,0,"3_Homeostatic","A630073D07Rik"
"Mogat1",4.46692627071329e-134,0.853026195533629,0.518,0.247,1.02770572710301e-129,"3_Homeostatic","Mogat1"
"Dcpp3",2.5758403269587e-181,2.8272833112743,1,0.142,5.92623584023389e-177,"32_Homeostatic","Dcpp3"
"Dcpp1",5.48395266357622e-169,2.66978469690372,0.832,0.101,1.26169298930898e-164,"32_Homeostatic","Dcpp1"
"Dcpp2",2.09751082463206e-167,2.78352090642902,0.954,0.138,4.82574315423097e-163,"32_Homeostatic","Dcpp2"
"Bpifa2",1.61494763048083e-158,3.16267940163998,0.634,0.063,3.71551001344725e-154,"32_Homeostatic","Bpifa2"
"Scgb2b261",1.11211037466041e-109,2.59998587215655,1,0.239,2.55863233898121e-105,"32_Homeostatic","Scgb2b26"
"Wfdc121",4.95857894579409e-104,0.729709406622529,0.908,0.177,1.14082025805885e-99,"32_Homeostatic","Wfdc12"
"Pip1",9.81606538457197e-100,2.34383575578201,1,0.256,2.25838216302847e-95,"32_Homeostatic","Pip"
"Car61",4.18743530149031e-98,2.10105479887682,1,0.232,9.63403239813877e-94,"32_Homeostatic","Car6"
"Prol11",4.43138078606127e-70,1.72536599188714,1,0.326,1.01952777744912e-65,"32_Homeostatic","Prol1"
"Gm532361",5.09800947183359e-69,2.2336248318213,0.992,0.407,1.17289903918475e-64,"32_Homeostatic","Gm53236"
"Scgb2b271",3.29004687454229e-67,2.15885901780144,1,0.442,7.56941084425945e-63,"32_Homeostatic","Scgb2b27"
"Wfdc18",1.03237484445174e-62,1.52048483240018,0.542,0.1,2.37518480463013e-58,"32_Homeostatic","Wfdc18"
"Scgb1b271",8.68016756640858e-62,2.16037782867322,1,0.53,1.99704615200362e-57,"32_Homeostatic","Scgb1b27"
"Mucl21",1.24738661548363e-60,2.23192233357921,1,0.572,2.86986238624318e-56,"32_Homeostatic","Mucl2"
"Pglyrp1",2.19021722164647e-51,2.15142929990914,0.45,0.083,5.03903276184203e-47,"32_Homeostatic","Pglyrp1"
"Cldn10",8.81899946449765e-26,1.92618892110684,0.305,0.069,2.02898720679697e-21,"32_Homeostatic","Cldn10"
"Fxyd3",3.59970404637245e-17,1.19842307911341,0.336,0.103,8.28183909948909e-13,"32_Homeostatic","Fxyd3"
"Bglap3",2.33810098372994e-11,1.00185206807366,0.282,0.1,5.37926893326748e-07,"32_Homeostatic","Bglap3"
"Mogat11",2.23938859163687e-05,0.643941698415786,0.42,0.251,0.515216133277896,"32_Homeostatic","Mogat1"
"Gm12873",0,5.34162098129406,0.747,0.017,0,"38_Homeostatic","Gm12873"
"Scgb2b262",1.41637670555719e-81,3.43110356713523,1,0.239,3.25865788647543e-77,"38_Homeostatic","Scgb2b26"
"Wfdc122",3.6648697108053e-77,1.14262051030986,0.973,0.177,8.43176574364976e-73,"38_Homeostatic","Wfdc12"
"Pip2",5.92985580604976e-74,3.14534225638056,1,0.256,1.36428192529787e-69,"38_Homeostatic","Pip"
"Car62",4.27153202347452e-71,2.7382564424996,1,0.232,9.82751372640782e-67,"38_Homeostatic","Car6"
"A630073D07Rik1",3.82088642515512e-59,2.93526200181828,0.533,0.066,8.7907133983544e-55,"38_Homeostatic","A630073D07Rik"
"Gm532362",2.2325785252107e-54,2.96366844571816,1,0.407,5.13649341295226e-50,"38_Homeostatic","Gm53236"
"Prol12",1.71574296236807e-51,2.37228626735251,1,0.326,3.94740983352021e-47,"38_Homeostatic","Prol1"
"Mucl22",9.75290815667847e-48,2.95817715383349,1,0.572,2.24385157960702e-43,"38_Homeostatic","Mucl2"
"Scgb2b272",1.72939811217082e-46,2.59851251587909,1,0.442,3.97882623667139e-42,"38_Homeostatic","Scgb2b27"
"Scgb1b272",1.12579588371595e-45,2.77591128928884,1,0.53,2.59011858966528e-41,"38_Homeostatic","Scgb1b27"
"Mup5",5.59691787105631e-13,1.61852657615124,0.267,0.062,1.28768289459393e-08,"38_Homeostatic","Mup5"
"Mogat12",6.3883855904626e-07,0.863442641957933,0.52,0.251,0.0146977587279773,"38_Homeostatic","Mogat1"
"Muc19",0,4.86028276850178,1,0.032,0,"50_Homeostatic","Muc19"
"Lman1l",8.28742776274383e-283,5.10072332954062,0.687,0.023,1.90668850537447e-278,"50_Homeostatic","Lman1l"
"A2ml1",2.02893177963373e-220,4.65501945625909,1,0.066,4.66796334540332e-216,"50_Homeostatic","A2ml1"
"Cgref1",4.41075332676442e-212,5.01245317829364,0.463,0.014,1.01478201788869e-207,"50_Homeostatic","Cgref1"
"Creb3l1",1.52082492609559e-160,4.48378610967076,0.672,0.039,3.49896190746812e-156,"50_Homeostatic","Creb3l1"
"Gal",9.49076205320058e-157,4.86111980348715,0.358,0.011,2.18353962557986e-152,"50_Homeostatic","Gal"
"Smgc",1.45957748338317e-148,0.368530353287914,0.612,0.034,3.35804991601966e-144,"50_Homeostatic","Smgc"
"Pigr",1.1554080688588e-121,3.93407388513564,0.612,0.041,2.65824734402343e-117,"50_Homeostatic","Pigr"
"Fkbp11",1.75019938028304e-120,4.06231512055465,0.537,0.032,4.02668371421718e-116,"50_Homeostatic","Fkbp11"
"Tcea3",1.38803077422391e-113,4.08848035282216,0.507,0.031,3.19344240225695e-109,"50_Homeostatic","Tcea3"
"Sel1l3",2.97711105257931e-109,4.01784288890072,0.373,0.017,6.84943939866922e-105,"50_Homeostatic","Sel1l3"
"Crlf1",5.58387745123592e-100,4.09081033844842,0.478,0.031,1.28468268520585e-95,"50_Homeostatic","Crlf1"
"Aqp5",1.27788882715793e-99,4.19749983422535,0.701,0.068,2.94003882464226e-95,"50_Homeostatic","Aqp5"
"Gfpt1",8.71868967846218e-95,3.71107773336072,0.657,0.061,2.00590893432379e-90,"50_Homeostatic","Gfpt1"
"Wfdc123",2.29190588799678e-92,4.52023054226476,1,0.177,5.2729878765142e-88,"50_Homeostatic","Wfdc12"
"Serpinb11",1.06775547215439e-86,4.27635400261508,0.299,0.014,2.4565850147856e-82,"50_Homeostatic","Serpinb11"
"Mfsd4a",1.87607844541104e-82,3.81388429842738,0.567,0.052,4.31629367935718e-78,"50_Homeostatic","Mfsd4a"
"Spdef",1.27256798542036e-75,3.95568227206342,0.328,0.019,2.92779716405661e-71,"50_Homeostatic","Spdef"
"Nupr1",3.62070648801193e-75,3.98062821621757,0.955,0.187,8.33015941696904e-71,"50_Homeostatic","Nupr1"
"Epha5",1.00817719454286e-72,3.64349403809883,0.433,0.034,2.31951327148475e-68,"50_Homeostatic","Epha5"
"Lrrc26",6.32817809028495e-72,4.15093305271712,0.373,0.026,1.45592393323186e-67,"50_Homeostatic","Lrrc26"
"Cldn101",3.63551308809937e-71,3.63505442657161,0.612,0.069,8.36422496179023e-67,"50_Homeostatic","Cldn10"
"Slc12a8",1.00632007700008e-70,3.50843422083752,0.388,0.028,2.31524060115409e-66,"50_Homeostatic","Slc12a8"
"Tmed3",1.35935879270215e-63,3.43666418967775,0.642,0.085,3.12747677436983e-59,"50_Homeostatic","Tmed3"
"St3gal1",6.83551041866059e-63,2.81921377995759,0.687,0.093,1.57264588202124e-58,"50_Homeostatic","St3gal1"
"Txndc5",1.07407051227697e-57,3.58852865670404,0.433,0.042,2.47111402759563e-53,"50_Homeostatic","Txndc5"
"Fxyd31",1.22121001205593e-55,3.40640830249848,0.657,0.103,2.80963787473709e-51,"50_Homeostatic","Fxyd3"
"Sec23b",1.34041259835257e-52,3.34565122878788,0.418,0.042,3.08388726502976e-48,"50_Homeostatic","Sec23b"
