"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Slit2",0,2.70111717248476,0.92,0.17,0,"0","Slit2"
"Cyp2f2",0,2.3957600133831,0.873,0.163,0,"0","Cyp2f2"
"Tmcc3",0,2.32088109940215,0.798,0.163,0,"0","Tmcc3"
"Klk1b11",0,1.45558823616765,0.827,0.197,0,"0","Klk1b11"
"Wfdc2",0,1.8225638259075,0.867,0.241,0,"0","Wfdc2"
"Ppargc1a",0,2.67964574017177,0.808,0.186,0,"0","Ppargc1a"
"Klk1b26",0,0.982884196305978,0.825,0.216,0,"0","Klk1b26"
"Unc13b",0,2.11873853614752,0.756,0.165,0,"0","Unc13b"
"Tfcp2l1",0,1.52581721468262,0.937,0.354,0,"0","Tfcp2l1"
"Aplp2",0,1.80279458109984,0.815,0.232,0,"0","Aplp2"
"Atp1b1",0,2.24880998169975,0.976,0.396,0,"0","Atp1b1"
"Cadps2",0,2.26760456731606,0.771,0.195,0,"0","Cadps2"
"Pkp4",0,1.94178797711181,0.811,0.238,0,"0","Pkp4"
"Crisp3",0,1.25213290989143,0.857,0.285,0,"0","Crisp3"
"Pdgfd",0,2.76031227189147,0.67,0.1,0,"0","Pdgfd"
"Cacnb4",0,3.1042060791335,0.647,0.081,0,"0","Cacnb4"
"Stxbp6",0,1.84409665183343,0.777,0.212,0,"0","Stxbp6"
"Klk1",0,2.7130093933858,0.996,0.432,0,"0","Klk1"
"Fxyd2",0,0.474973356449773,0.991,0.43,0,"0","Fxyd2"
"Ablim1",0,2.29700062995338,0.71,0.15,0,"0","Ablim1"
"Nudt4",0,1.78288065661739,0.727,0.171,0,"0","Nudt4"
"Itprid1",0,2.40088391097127,0.673,0.119,0,"0","Itprid1"
"B2m",0,2.08686979498328,0.748,0.195,0,"0","B2m"
"Oxct1",0,2.06791651137153,0.77,0.222,0,"0","Oxct1"
"Erbin",0,2.01754475312156,0.746,0.205,0,"0","Erbin"
"Meis2",0,1.7629922251384,0.802,0.263,0,"0","Meis2"
"Tacc2",0,1.61370374807359,0.789,0.252,0,"0","Tacc2"
"Atp1a1",0,2.45514510604726,0.973,0.439,0,"0","Atp1a1"
"Runx2",0,1.9457366560501,0.714,0.188,0,"0","Runx2"
"Atp5f1a",0,1.42423305082205,0.869,0.344,0,"0","Atp5f1a"
"H2-K1",0,1.57628689211894,0.828,0.306,0,"0","H2-K1"
"Klk1b5",0,1.25062480625086,0.664,0.144,0,"0","Klk1b5"
"Plet1",0,1.58379831190138,0.79,0.273,0,"0","Plet1"
"Clint1",0,1.86074418335152,0.709,0.195,0,"0","Clint1"
"Aopep",0,1.63730367521659,0.774,0.264,0,"0","Aopep"
"Iqgap2",0,1.96637780597562,0.709,0.202,0,"0","Iqgap2"
"Fmn1",0,2.2976274016003,0.636,0.135,0,"0","Fmn1"
"Klk1b4",0,1.0261113422781,0.613,0.115,0,"0","Klk1b4"
"S100a1",0,0.384111889102262,0.816,0.319,0,"0","S100a1"
"Stxbp5l",0,2.15117106617183,0.591,0.098,0,"0","Stxbp5l"
"Plcb4",0,1.35450572827753,0.811,0.32,0,"0","Plcb4"
