"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"A630073D07Rik",2.90451456247924e-78,6.19495969638828,0.354,0.008,5.38816496485523e-74
"Ifitm3",5.76266782229542e-70,4.4880323408769,0.416,0.042,1.06903250771402e-65
"Cdkn1a",6.58536857661032e-62,6.47635053582926,0.275,0.004,1.22165172464698e-57
"Ifi27l2a",8.73608385285832e-56,3.61292180116568,0.713,0.421,1.62063091554375e-51
"Wfdc2",8.878009780533e-50,4.91780858660696,0.267,0.016,1.64695959438668e-45
"Ccnd1",1.19651969280934e-46,4.30533824650439,0.267,0.02,2.2196636821306e-42
"Gm53236",3.37901740286239e-41,1.91451602838788,0.885,0.737,6.26841518405003e-37
"Prol1",5.14921360821166e-39,2.67310515858712,0.899,0.776,9.55230616459344e-35
"Gm46178",5.79703101028132e-36,3.62043264833344,0.32,0.064,1.07540722271729e-31
"Wfdc18",7.14158268362063e-35,3.4719347934349,0.893,0.806,1.32483500363846e-30
"Rn7sk",2.50364685042968e-32,2.22565227835093,0.478,0.161,4.6445152722321e-28
"Mucl2",8.20554697110232e-31,1.90343003224587,0.927,0.806,1.52221101860919e-26
"Ccng1",1.52629670385477e-29,2.62314257172405,0.284,0.06,2.83143301532099e-25
"Arl4a",3.94055192530457e-28,2.122638552219,0.315,0.078,7.3101178766325e-24
"Exoc4",9.68454995272899e-27,1.7840206038478,0.447,0.173,1.79658086173076e-22
"Scgb2b27",1.25106838683729e-23,2.06720596431619,0.882,0.821,2.32085696442185e-19
"Gclc",5.51215073318146e-23,1.86404058420939,0.346,0.113,1.02255908251249e-18
"Car6",1.20364174157636e-21,3.13689564868454,0.728,0.653,2.23287579479831e-17
"Gm26917",9.38529968843681e-21,1.40912599550941,1,1,1.74106694520191e-16
"Bax",3.3051874944866e-19,2.16806099828087,0.289,0.099,6.13145332102209e-15
"Scgb1b27",3.51176379295348e-19,1.88604471978442,0.885,0.814,6.514673012308e-15
"ND3",1.56504822586691e-18,1.18607428758848,0.958,0.933,2.9033209638057e-14
"Gphn",3.09586292487597e-16,1.84312558335879,0.489,0.272,5.74313531193741e-12
"Malat1",6.07008957360774e-16,1.05065654299643,0.983,0.994,1.12606231679997e-11
"ND1",9.09557843177451e-16,1.21812990456277,0.994,0.996,1.68732075487849e-11
"Phlpp1",5.48060776111395e-15,1.40874081050849,0.351,0.158,1.01670754576425e-10
"Rpn1",2.20513447221661e-13,1.20815805134982,0.334,0.154,4.09074495940904e-09
"Cdk8",2.28378292046176e-13,1.77587244456724,0.404,0.225,4.23664569574862e-09
"Son",3.20557826425108e-13,0.968047777289985,0.463,0.249,5.94666823801217e-09
"Pip",9.76153350416367e-13,1.4442662842371,0.801,0.715,1.8108620803574e-08
"Cst3",1.08365779712539e-12,1.49300331107929,0.264,0.108,2.0102935794473e-08
"Tmem176a",2.37250980284305e-12,1.32412886878469,0.346,0.167,4.40124293525414e-08
"Atp5me",2.47409264683242e-12,0.956112355999,0.486,0.282,4.58968926913882e-08
"Cald1",3.02524916167133e-12,1.22690348348726,0.272,0.115,5.61213971981648e-08
"Tuba1c",6.13190390984906e-12,1.26696898001297,0.253,0.103,1.1375294943161e-07
"Phlda1",7.72237531155074e-12,1.11276668430733,0.744,0.714,1.43257784404578e-07
"ND6",1.93324987697425e-11,1.42274088062518,0.261,0.114,3.58637184677493e-07
"Airn",3.36063594116278e-11,0.950687770914498,0.478,0.282,6.23431573445108e-07
"Wwc1",4.37248095928748e-11,0.934787201602588,0.413,0.226,8.11138942757421e-07
"Nmt1",6.7705528450178e-11,1.17852125727423,0.25,0.106,1.25600525827925e-06
"Tmem176b",7.10410581378553e-11,1.1331896235168,0.382,0.212,1.31788266951535e-06
"Prpf4b",1.49877770110677e-10,1.19555080911781,0.275,0.127,2.78038251332317e-06
"Eif3c",1.57641412033515e-10,1.04840920331978,0.323,0.16,2.92440583463373e-06
"Myh9",2.65278580858302e-10,1.00851647619627,0.301,0.146,4.92118295350236e-06
"Txnip",2.74795634925645e-10,1.02745821967275,0.351,0.186,5.09773382350564e-06
"Spag9",2.74849545580099e-10,0.888052322544851,0.351,0.182,5.09873392005641e-06
"Igf2r",3.5778466264107e-10,1.25395811449282,0.25,0.113,6.63726327665448e-06
"ND2",4.8580160889715e-10,0.836060127998048,0.997,0.995,9.01210564665104e-06
"Gm38733",5.16506079319214e-10,1.50309999280959,0.382,0.231,9.58170427745073e-06
"Tra2b",5.460128960408e-10,0.998427046815241,0.267,0.122,1.01290852344529e-05
"Atp2a2",6.22879375278985e-10,0.768716473773106,0.407,0.226,1.15550352908005e-05
"Cldn7",7.42930340507946e-10,1.30079636495407,0.253,0.117,1.37821007467629e-05
"Hsp90ab1",8.89187019473765e-10,0.688407822894097,0.91,0.935,1.64953083982578e-05
"Mtus1",1.19594362248449e-09,0.968386060905085,0.382,0.217,2.21859501407098e-05
"Ank3",3.28526616051977e-09,0.702482613558129,0.483,0.305,6.09449725438022e-05
"Cox6a1",3.98769393489367e-09,0.873065741695775,0.486,0.32,7.39757101862124e-05
"Magi1",4.26410855780216e-09,0.748790969100269,0.43,0.258,7.91034778557879e-05
"Actn4",5.14042798170082e-09,1.03444705029726,0.264,0.128,9.53600794885319e-05
"Tpm3",5.50186161095971e-09,0.947631433229906,0.258,0.125,0.000102065034744914
"Macf1",5.7609743746671e-09,1.0705805843184,0.295,0.152,0.000106871835624449
"Ctsd",6.15502521861961e-09,0.806609439524086,0.323,0.166,0.000114181872830612
"Eif5b",8.06337137277215e-09,0.724840750051164,0.368,0.203,0.000149583602336296
"Polr2l",9.79599594833279e-09,0.723755865586921,0.39,0.221,0.000181725520837522
"Brwd1",1.2772129317635e-08,1.09889897377348,0.25,0.122,0.000236935770971446
"Fosb",1.89648999433069e-08,1.10939983320893,0.261,0.131,0.000351817858848286
"Ube2h",1.96631540097742e-08,0.826016781983334,0.32,0.171,0.00036477117003532
"Ndufa3",2.05292248756676e-08,0.737283604529512,0.36,0.203,0.000380837650668509
"COX1",2.08966382963657e-08,0.713799826440868,0.989,0.996,0.00038765353703588
"Rpl23a",2.47279340417646e-08,0.784164845305054,0.441,0.287,0.000458727904408776
"Tcn2",2.75048861219229e-08,0.550081360679903,0.868,0.857,0.000510243142447791
"Cmss1",5.21198372420186e-08,2.2899995639261,0.683,0.682,0.000966875100676687
"Lars2",6.46417238317459e-08,1.57340927277916,0.683,0.656,0.00119916861880272
"Snd1",7.39497296004423e-08,0.726312559446786,0.36,0.211,0.0013718414338178
"Meis1",7.86136435487062e-08,0.653732657489618,0.424,0.257,0.00145836170147205
"Ifrd1",8.61699211203756e-08,0.557671977909086,0.441,0.269,0.00159853820670409
"Hnrnpa2b1",9.79741286689188e-08,0.63164908289193,0.458,0.294,0.00181751806093711
"Ubxn4",1.01863746047985e-07,0.878918683145891,0.256,0.131,0.00188967435293618
"Galnt3",1.10582438420858e-07,0.835005565210589,0.281,0.15,0.00205141481514534
"Scgb2b26",1.4023667285498e-07,1.41865206416127,0.691,0.689,0.00260153051813274
"Srrm2",1.74960018321378e-07,0.599473209985647,0.441,0.279,0.00324568329987989
"Nbea",2.79913273529052e-07,0.898354381664254,0.281,0.153,0.00519267113723744
"Aff4",3.04161675004574e-07,0.656047142008835,0.264,0.138,0.00564250323300985
"Dennd1a",3.09452233488446e-07,0.927056322714917,0.284,0.161,0.00574064838344416
"Sars1",3.61801885607935e-07,0.814450513957939,0.287,0.158,0.0067117867799128
"Mcc",3.79487835950955e-07,0.846132903393509,0.326,0.191,0.00703987884472616
"Nars1",4.20888866574243e-07,0.789885786223691,0.267,0.142,0.00780790936381878
"Fndc3b",5.05104529271585e-07,0.611609910565719,0.531,0.383,0.00937019412251716
"Pbx1",6.00985746470907e-07,0.571651970908606,0.447,0.292,0.0111488865827818
"Aopep",6.3620273787557e-07,0.776684975235931,0.287,0.16,0.0118021969903297
"Vcp",6.36756788656405e-07,0.717905214252606,0.295,0.166,0.011812475186365
"Zfhx3",8.05516422927844e-07,0.715833864232911,0.343,0.203,0.0149431351617344
"Etl4",9.44298363961854e-07,0.748848921460874,0.272,0.15,0.0175176789498564
"Mycbp2",1.12743727180164e-06,0.755990990704894,0.253,0.135,0.0209150888291923
"ND5",1.26649699921291e-06,0.743964973298675,0.958,0.963,0.0234947858323988
"Arhgef38",1.34815405525649e-06,0.783195499426741,0.253,0.137,0.0250096058790631
"COX3",1.35029303763232e-06,0.636400957167667,0.992,0.996,0.0250492861411172
"Clec2d",1.36259657491471e-06,0.732781096788158,0.298,0.171,0.0252775290612427
"Camk1d",1.56363765104522e-06,2.68072609848933,0.59,0.585,0.0290070420645399
"Bach2",1.89491668084094e-06,0.588766401919773,0.295,0.167,0.0351525993462802
"Zfp36l1",2.01861137378297e-06,0.790352602290177,0.298,0.178,0.0374472595950479
"Adcy2",2.18406125702654e-06,1.18807638366941,0.25,0.146,0.0405165203790993
"Slc38a2",2.20585207051114e-06,0.809694476681402,0.303,0.184,0.0409207617600521
"Stox2",2.34260983925628e-06,0.566790753444761,0.452,0.304,0.0434577551280433
"Bclaf1",2.35687192277015e-06,0.679175393654063,0.253,0.138,0.0437223310393091
"Sntb1",2.47800093850108e-06,0.790472665125667,0.256,0.144,0.0459693954101335
