"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm26917",2.34302829739303e-160,2.00449969948378,1,0.991,4.34655179449381e-156
"Cmss1",3.73601721577474e-152,4.07802084694852,0.598,0.066,6.93068553698372e-148
"Camk1d",1.86179588199416e-138,3.70706638014294,0.588,0.073,3.45381754068737e-134
"Gm30821",1.75176167082947e-123,4.63146437576113,0.439,0.025,3.24969307555575e-119
"Cdk8",6.50109456830719e-92,3.54932851419954,0.43,0.061,1.20601805336667e-87
"Ifi27l2a",9.10979756132621e-79,3.885477603568,0.402,0.068,1.68995854560163e-74
"Lars2",5.95197434476044e-75,2.85891483946174,0.462,0.102,1.10415076069651e-70
"Id4",1.91950342302617e-68,3.02871657942299,0.35,0.053,3.56087080005585e-64
"C2cd4b",4.47621872182038e-60,3.57691119706136,0.256,0.022,8.30383335084898e-56
"Mir6236",1.94537901604109e-47,2.61667136044849,0.293,0.055,3.60887261265782e-43
"Gphn",6.08816272393972e-41,2.61891140228329,0.304,0.077,1.12941506691806e-36
"Rpl41",5.4062756957173e-37,0.668098120052984,0.964,0.941,1.00291820431252e-32
"Gclc",2.41233854847434e-32,2.09677866956063,0.272,0.077,4.47512924127474e-28
"Tesc",8.12694582727882e-32,1.8471490882453,0.256,0.068,1.50762972041849e-27
"Ifitm3",2.9509342985034e-30,2.31884304412091,0.251,0.071,5.47427821715365e-26
"Gm15564",6.6445630148554e-29,1.97478814518202,0.253,0.073,1.23263288488582e-24
"Rplp1",6.78588549211088e-28,0.843653752868249,0.917,0.834,1.25884961764149e-23
"Rplp0",8.39443440612571e-27,0.556067975151009,0.952,0.923,1.55725152668038e-22
"Ppib",1.02620085725945e-25,0.613189058962318,0.776,0.576,1.90370521030201e-21
"Hsp90b1",2.74970938010126e-25,1.37551563048545,0.427,0.218,5.10098587102585e-21
"Rpsa",1.12213788501202e-24,0.895219965440634,0.771,0.594,2.08167799048579e-20
"Rps2",1.98139781941986e-21,0.68762203517969,0.848,0.717,3.67569109480578e-17
"Reep5",2.44343105586098e-21,0.728597136254708,0.666,0.451,4.5328089517277e-17
"Rpl8",4.7880772590716e-19,0.60602456017489,0.893,0.789,8.88236212330372e-15
"Gapdh",4.9443285950902e-19,0.749075365553958,0.594,0.4,9.17222397675183e-15
"Serf2",8.71544195746172e-19,0.469796588163064,0.926,0.855,1.61680163752872e-14
"Ifi27",8.81589913871913e-19,0.96663171161081,0.481,0.299,1.63543744922379e-14
"Sec11c",2.39670297687135e-18,0.398475214859649,0.92,0.851,4.44612369239404e-14
"Rps5",1.50306092667283e-17,0.639163475514416,0.817,0.678,2.78832832507077e-13
"mt-Rnr1",4.14956039888963e-17,1.54862019649082,0.568,0.389,7.69784949598015e-13
"Hexb",4.50310010036915e-17,0.960693705089129,0.49,0.309,8.35370099619481e-13
"H2aj",1.83626650903651e-16,0.69578335570987,0.666,0.513,3.40645800091364e-12
"Uba52",2.23134314063029e-16,0.667490630042472,0.938,0.883,4.13936466018325e-12
"Nupr1",5.07939906351041e-16,0.43737985363981,0.8,0.675,9.42279320271816e-12
"Rps19",5.98320891431594e-16,1.0101556175653,0.675,0.543,1.10994508569475e-11
"Rpl37a",6.79383394339144e-16,0.681823881305834,0.773,0.647,1.26032413483855e-11
"Nme2",8.60229872569909e-16,0.462681091348207,0.875,0.756,1.59581243660444e-11
"Calm1",1.48790387127793e-15,0.439133174896307,0.809,0.68,2.76021047160769e-11
"Dnajc3",3.63414644719061e-15,0.567321586310946,0.654,0.494,6.74170507418331e-11
"Chchd2",5.18893602710978e-15,0.468338117864614,0.802,0.657,9.62599522389134e-11
"Rps18",6.24304059891096e-15,0.752381514091255,0.765,0.64,1.15814646150397e-10
"Actb",9.32912674679063e-15,0.815495250291377,0.636,0.522,1.73064630279713e-10
"Tubb4b",3.00071048536786e-14,1.20749537065243,0.277,0.14,5.56661802140591e-10
"Myl6",3.4851681315109e-14,0.734765941465486,0.469,0.307,6.46533540076586e-10
"Hsp90ab1",1.18537657438947e-13,0.993444104653297,0.397,0.247,2.19899208314991e-09
"Rpl13",2.19487814981169e-13,0.680743828843464,0.771,0.656,4.07171845571567e-09
"Rps20",2.90878900594058e-13,0.525702088869191,0.926,0.851,5.39609448492036e-09
"Calr",5.75512788936074e-13,1.00931582831029,0.316,0.179,1.06763377475531e-08
"Tcn2",7.58360999142251e-13,0.517865063439403,0.776,0.68,1.40683548950879e-08
"Rps24",1.03871769990107e-12,0.679091591867835,0.911,0.873,1.92692520508647e-08
"Rpl6",1.31680915979819e-12,0.790411515527037,0.505,0.366,2.44281267234162e-08
