"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gm53236",0,0.466328337124395,1,1,0,"1","Gm53236"
"Mucl2",0,0.434280122998686,1,1,0,"1","Mucl2"
"Scgb2b26",3.68810404242779e-139,0.377840402076647,1,1,7.03284559850555e-135,"1","Scgb2b26"
"Scgb1b27",7.90434149142965e-131,0.292355153707318,1,1,1.50727887900072e-126,"1","Scgb1b27"
"Pip",5.88519891320947e-96,0.336566023974722,1,1,1.12224858075991e-91,"1","Pip"
"Tmsb4x",1.42836079571134e-58,0.26708531135246,0.998,0.995,2.72374120134196e-54,"1","Tmsb4x"
"Wfdc12",7.51734606216462e-24,0.2606436732519,0.982,0.979,1.43348272059417e-19,"1","Wfdc12"
"Ost4",1.29127566040479e-20,0.565343732424268,0.265,0.189,2.4623335568259e-16,"1","Ost4"
"Ndufa7",7.75569515954698e-18,0.425207478111882,0.427,0.354,1.47893350997401e-13,"1","Ndufa7"
"Uqcc2",1.4840501458923e-17,0.483441918103702,0.297,0.224,2.82993522320203e-13,"1","Uqcc2"
"Dcpp1",3.67240208306036e-16,0.497978549531054,0.309,0.237,7.00290353218781e-12,"1","Dcpp1"
"Mien1",1.17210106274091e-15,0.364037105566579,0.431,0.358,2.23507951654065e-11,"1","Mien1"
"Rps26",2.00444880499697e-15,0.28311571703626,0.785,0.817,3.82228342624872e-11,"1","Rps26"
"Tmem258",2.60310700397731e-15,0.354098685417801,0.329,0.254,4.96386474588433e-11,"1","Tmem258"
"Txndc17",9.69248799589291e-15,0.408247291317985,0.343,0.272,1.84826053593682e-10,"1","Txndc17"
"Ndufb10",2.06220928481587e-14,0.372343200242195,0.348,0.278,3.93242688521538e-10,"1","Ndufb10"
"Atp5mk",4.42770718449822e-13,0.369154905711827,0.361,0.295,8.44319483011965e-09,"1","Atp5mk"
"Mrpl53",2.68893217390434e-11,0.313863221102154,0.364,0.301,5.12752476241819e-07,"1","Mrpl53"
"Nop10",6.7163021738787e-10,0.282447995859914,0.345,0.287,1.28073166153693e-05,"1","Nop10"
"Bbln",7.38310342396403e-10,0.36589031883457,0.254,0.203,1.4078839919157e-05,"1","Bbln"
"Ndufab1",1.32135658508782e-09,0.379591519600204,0.275,0.224,2.51969487210396e-05,"1","Ndufab1"
"Mpc2",1.3377604487491e-09,0.270727341800441,0.497,0.449,2.55097539971966e-05,"1","Mpc2"
"Ndufb6",1.34604582427093e-09,0.296312607681518,0.338,0.28,2.56677478230224e-05,"1","Ndufb6"
"Mrps21",1.15299900764946e-08,0.283914954521366,0.326,0.274,0.000219865380768676,"1","Mrps21"
"Mrps14",1.87144170061552e-08,0.275634651605604,0.343,0.29,0.000356865217890373,"1","Mrps14"
"Mpc1",3.81361133994265e-08,0.267160137558812,0.319,0.269,0.000727217546413664,"1","Mpc1"
"Srp14",4.09901944124362e-08,0.278164418590712,0.307,0.258,0.000781642017250746,"1","Srp14"
"Hsd17b10",7.43983795470205e-08,0.283657397423645,0.254,0.208,0.00141870269958213,"1","Hsd17b10"
"Tmem223",9.87857549294519e-08,0.300625542210089,0.254,0.208,0.00188374556074972,"1","Tmem223"
"Higd2a",8.73426874692964e-07,0.259645046335659,0.261,0.218,0.0166553770735201,"1","Higd2a"
"Atf3",0,2.72263687007012,0.913,0.26,0,"2","Atf3"
"Zfp36",0,3.00009814208313,0.799,0.155,0,"2","Zfp36"
