"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cmss1",0,4.63757521168186,0.918,0.25,0
"Rps29",0,1.34774822394861,0.993,0.912,0
"Gm26917",0,2.74681911733683,0.998,0.984,0
"Rpl13a",2.57637628760209e-292,1.36874054895633,0.911,0.587,4.94380845827965e-288
"Prol1",3.49480855922615e-284,0.578325541991482,0.999,0.999,6.70618814429907e-280
"Rrbp1",5.98412472474018e-282,1.45390683802848,0.971,0.773,1.14829369343039e-277
"Camk1d",7.72199569310102e-282,3.22260161581993,0.793,0.392,1.48177375354916e-277
"Lars2",8.97460237599784e-274,2.29661241120231,0.824,0.408,1.72213644993022e-269
"Rpl41",3.58504112257416e-269,0.922524592331712,0.998,0.98,6.87933541010755e-265
"Rplp1",2.96139393075408e-257,0.809558432367772,0.999,0.99,5.682618813724e-253
"Rpl38",3.13753502372253e-246,1.1247631277571,0.978,0.826,6.02061595702116e-242
"Gm30821",3.31441663283557e-244,3.64439826958018,0.416,0.054,6.36003407674817e-240
"Cdk8",8.51798022791184e-244,2.8933065166416,0.561,0.157,1.634515225934e-239
"Gm46178",1.27979453303951e-242,3.51069381998902,0.464,0.085,2.45579772944951e-238
"Rps21",9.9539140824188e-242,1.03579533697946,0.983,0.882,1.91005657327534e-237
"Dcpp3",1.7546258518666e-237,0.866635834307226,0.621,0.212,3.36695154714682e-233
"Rps15",3.93714720463381e-224,1.14692617924928,0.899,0.595,7.55499177097182e-220
"Gm15564",2.15787065965557e-220,2.75337419556516,0.437,0.079,4.14073800881307e-216
"Mir6236",3.14907764101472e-216,3.87007291400205,0.482,0.126,6.04276508534315e-212
"Rps8",2.04860821062846e-207,0.868967357078283,0.985,0.935,3.93107429537495e-203
"Rps28",5.12446558499983e-200,1.08259696413515,0.953,0.817,9.83333701105618e-196
"Rps12",4.21950539682559e-194,0.988139164750206,0.93,0.732,8.09680890596862e-190
"Exoc4",1.26839106251639e-186,2.54414504058768,0.46,0.127,2.4339156098627e-182
"H2aj",7.09946414948418e-186,0.881699907150919,0.973,0.824,1.36231617564452e-181
"Wfdc18",7.52824775609628e-180,1.50202522320509,0.344,0.053,1.44459546191731e-175
"Esrrg",1.05268557549997e-178,1.60315379793405,0.821,0.537,2.01999835082689e-174
"Rn7sk",2.04013684720127e-174,3.1217497230078,0.488,0.161,3.91481859609452e-170
"St3gal1",1.40741084445089e-167,1.18341496885034,0.934,0.762,2.70068066941682e-163
"Rpl37a",1.63648436727337e-163,0.801710857532505,0.986,0.943,3.14024985236087e-159
"ND3",1.34804917964098e-159,1.60755626147316,0.936,0.733,2.58677157081308e-155
"Hexb",1.63901138734207e-153,2.30862764046915,0.455,0.153,3.1450989511707e-149
"Dcpp2",6.26041260211697e-153,1.10378380619034,0.581,0.27,1.20131057422023e-148
"Gm36876",2.53416568169104e-140,3.32147209341669,0.26,0.035,4.86281052659694e-136
"Rps27",8.22771967039178e-138,1.00258011872804,0.825,0.632,1.57881712755148e-133
